model_id,test_accuracy,quality_class
model_0365,49.19,slikts
model_0366,91.46,vidējs
model_0367,8.92,slikts
model_0368,93.23,vidējs
model_0369,10.09,slikts
model_0370,91.2,vidējs
model_0371,82.73,vidējs
model_0372,27.36,slikts
model_0373,97.25,labs
model_0374,94.47,vidējs
model_0375,96.92,labs
model_0376,9.82,slikts
model_0377,9.74,slikts
model_0378,96.71,labs
model_0379,95.17,labs
model_0380,90.21,vidējs
model_0381,97.3,labs
model_0382,93.02,vidējs
model_0383,88.81,vidējs
model_0384,95.07,labs
model_0385,97.91,labs
model_0386,97.98,labs
model_0387,43.79,slikts
model_0388,93.96,vidējs
model_0389,93.08,vidējs
model_0390,10.32,slikts
model_0391,96.68,labs
model_0392,10.09,slikts
model_0393,11.35,slikts
model_0394,74.33,slikts
model_0395,94.94,vidējs
model_0396,97.47,labs
model_0397,64.95,slikts
model_0398,10.49,slikts
model_0399,12.19,slikts
model_0400,16.5,slikts
model_0401,10.98,slikts
model_0402,33.05,slikts
model_0403,52.59,slikts
model_0404,90.37,vidējs
model_0405,95.94,labs
model_0406,95.19,labs
model_0407,87.81,vidējs
model_0408,10.1,slikts
model_0409,11.35,slikts
model_0410,98.24,labs
model_0411,95.68,labs
model_0412,97.1,labs
model_0413,96.4,labs
model_0414,88.85,vidējs
model_0415,10.28,slikts
model_0416,11.35,slikts
model_0417,97.28,labs
model_0418,96.64,labs
model_0419,97.5,labs
model_0420,97.41,labs
model_0421,91.28,vidējs
model_0422,93.23,vidējs
model_0423,95.32,labs
model_0424,79.13,slikts
model_0425,97.67,labs
model_0426,97.02,labs
model_0427,93.3,vidējs
model_0428,87.17,vidējs
model_0429,96.17,labs
model_0430,96.97,labs
model_0431,90.43,vidējs
model_0432,82.38,vidējs
model_0433,67.55,slikts
model_0434,10.1,slikts
model_0435,91.49,vidējs
model_0436,97.42,labs
model_0437,9.58,slikts
model_0438,62.46,slikts
model_0439,11.35,slikts
model_0440,96.69,labs
model_0441,98.36,labs
model_0442,88.19,vidējs
model_0443,97.79,labs
model_0444,96.36,labs
model_0445,9.74,slikts
model_0446,96.06,labs
model_0447,9.8,slikts
model_0448,97.51,labs
model_0449,16.93,slikts
model_0450,10.32,slikts
model_0451,10.39,slikts
model_0452,95.15,labs
model_0453,92.01,vidējs
model_0454,87.42,vidējs
model_0455,94.65,vidējs
model_0456,11.35,slikts
model_0457,98.33,labs
model_0458,95.2,labs
model_0459,11.35,slikts
model_0460,84.95,vidējs
model_0461,98.32,labs
model_0462,95.66,labs
model_0463,97.86,labs
model_0464,89.27,vidējs
model_0465,97.6,labs
model_0466,81.1,vidējs
model_0467,41.71,slikts
model_0468,96.92,labs
model_0469,97.29,labs
model_0470,18.37,slikts
model_0471,85.89,vidējs
model_0472,98.1,labs
model_0473,94.25,vidējs
model_0474,95.83,labs
model_0475,97.51,labs
model_0476,89.79,vidējs
model_0477,84.15,vidējs
model_0478,83.42,vidējs
model_0479,11.35,slikts
model_0480,79.18,slikts
model_0481,98.12,labs
model_0482,98.13,labs
model_0483,97.48,labs
model_0484,11.35,slikts
model_0485,11.35,slikts
model_0486,78.19,slikts
model_0487,67.99,slikts
model_0488,58.21,slikts
model_0489,73.94,slikts
model_0490,90.16,vidējs
model_0491,75.44,slikts
model_0492,11.35,slikts
model_0493,93.68,vidējs
model_0494,11.35,slikts
model_0495,97.78,labs
model_0496,92.23,vidējs
model_0497,11.35,slikts
model_0498,97.92,labs
model_0499,94.81,vidējs
model_0500,13.26,slikts
